date,open,high,low,close,volume
1962-01-02,2.2109,2.2109,2.1861,2.1861,387200
1962-01-03,2.1849,2.204,2.1849,2.204,288000
1962-01-04,2.2081,2.2081,2.1851,2.1861,256000
1962-01-05,2.1814,2.1814,2.1374,2.1413,363200
1962-01-08,2.1346,2.1346,2.0793,2.0965,544000
1962-01-09,2.1081,2.1501,2.1081,2.1233,491200
1962-01-10,2.1323,2.1419,2.1323,2.1323,299200
1962-01-11,2.133,2.1502,2.133,2.1502,315200
1962-01-12,2.1592,2.1745,2.1592,2.1592,435200
1962-01-15,2.1662,2.1729,2.1662,2.1681,251200
1962-01-16,2.1623,2.1623,2.1413,2.1413,251200
1962-01-17,2.1302,2.1302,2.0997,2.1054,419200
1962-01-18,2.1144,2.1354,2.1144,2.1144,371200
1962-01-19,2.1125,2.1182,2.0896,2.1144,400000
1962-01-22,2.1182,2.1393,2.1125,2.1144,275200
1962-01-23,2.1075,2.1104,2.0837,2.0875,371200
1962-01-24,2.0939,2.1054,2.0834,2.1054,408000
1962-01-25,2.1015,2.1187,2.0747,2.0786,315200
1962-01-26,2.0801,2.0878,2.0686,2.0696,243200
1962-01-29,2.0691,2.0835,2.0338,2.0338,579200
1962-01-30,2.0327,2.0441,2.0069,2.0069,736000
1962-01-31,2.0257,2.0696,2.0257,2.0696,760000
1962-02-01,2.0965,2.1291,2.0965,2.1233,640000
1962-02-02,2.1189,2.1323,2.1094,2.1323,507200
1962-02-05,2.1322,2.1322,2.094,2.1054,312000
1962-02-06,2.1035,2.1073,2.0959,2.1054,256000
1962-02-07,2.1054,2.1169,2.1054,2.1054,251200
1962-02-08,2.1125,2.124,2.1125,2.1144,16000
1962-02-09,2.1081,2.1233,2.0985,2.1233,432000
1962-02-12,2.1304,2.1476,2.1285,2.1323,280000
1962-02-13,2.1309,2.1328,2.0965,2.0965,256000
1962-02-14,2.0913,2.099,2.0837,2.0875,208000
1962-02-15,2.0862,2.0862,2.0766,2.0786,227200
1962-02-16,2.0805,2.0881,2.0786,2.0786,219200
1962-02-19,2.0817,2.0912,2.0568,2.0606,280000
1962-02-20,2.0606,2.0711,2.0606,2.0606,288000
1962-02-21,2.058,2.0723,2.0427,2.0427,363200
1962-02-23,2.0479,2.0555,2.0479,2.0517,288000
1962-02-26,2.0504,2.0523,2.0389,2.0427,299200
1962-02-27,2.0478,2.0651,2.0364,2.0517,347200
1962-02-28,2.0479,2.0517,2.0364,2.0517,267200
1962-03-01,2.0613,2.0786,2.0613,2.0786,280000
1962-03-02,2.0965,2.1079,2.0965,2.0965,243200
1962-03-05,2.0952,2.0952,2.0799,2.0875,360000
1962-03-06,2.0856,2.0952,2.0818,2.0875,184000
1962-03-07,2.0898,2.0965,2.084,2.0965,123200
1962-03-08,2.0917,2.0965,2.0793,2.0965,184000
1962-03-09,2.1029,2.1144,2.1029,2.1144,288000
1962-03-12,2.1163,2.122,2.1086,2.1144,280000
1962-03-13,2.1073,2.1073,2.0978,2.1054,123200
1962-03-14,2.1093,2.115,2.1016,2.1054,195200
1962-03-15,2.1093,2.1207,2.1054,2.1054,243200
1962-03-16,2.1048,2.1144,2.1048,2.1144,160000
1962-03-19,2.1125,2.122,2.1125,2.1144,371200
1962-03-20,2.115,2.115,2.1054,2.1054,160000
1962-03-21,2.1035,2.1093,2.0978,2.1054,256000
1962-03-22,2.0938,2.0938,2.0786,2.0786,240000
1962-03-23,2.0818,2.0913,2.0818,2.0875,184000
1962-03-26,2.0885,2.0961,2.0846,2.0875,131200
1962-03-27,2.0861,2.0861,2.0498,2.0517,347200
1962-03-28,2.0511,2.0664,2.0511,2.0606,328000
1962-03-29,2.0664,2.076,2.0606,2.0606,227200
1962-03-30,2.05,2.05,2.0242,2.0338,435200
1962-04-02,2.0336,2.0336,2.0069,2.0069,371200
1962-04-03,2.0099,2.0099,1.941,1.9621,912000
1962-04-04,1.9617,1.979,1.9531,1.9531,648000
1962-04-05,1.9584,1.989,1.9584,1.989,912000
1962-04-06,1.9909,2.0062,1.9756,1.989,432000
1962-04-09,1.987,1.9985,1.9737,1.989,16000
1962-04-10,1.9903,1.9979,1.9788,1.9979,256000
1962-04-11,1.9978,2.0131,1.971,1.971,528000
1962-04-12,1.9742,1.978,1.9531,1.9531,400000
1962-04-13,1.9513,1.98,1.9494,1.98,627200
1962-04-16,1.9819,1.9953,1.959,1.98,507200
1962-04-17,1.9794,1.989,1.9698,1.989,299200
1962-04-18,1.9838,2.001,1.9781,1.98,424000
1962-04-19,1.98,1.9876,1.9724,1.98,387200
1962-04-23,1.9819,1.9838,1.9724,1.98,312000
1962-04-24,1.9819,1.9943,1.9781,1.98,456000
1962-04-25,1.9831,1.9908,1.9621,1.9621,459200
1962-04-26,1.9561,1.9561,1.9083,1.9083,928000
1962-04-27,1.908,1.9291,1.8336,1.8546,1632000
1962-04-30,1.8587,1.8759,1.7228,1.7381,2344000
1962-05-01,1.7344,1.7745,1.6427,1.765,5315200
1962-05-02,1.8002,1.8538,1.8002,1.8098,2555200
1962-05-03,1.8083,1.8523,1.7949,1.8456,1360000
1962-05-04,1.8403,1.8546,1.8221,1.8546,779200
1962-05-07,1.8599,1.8742,1.8187,1.8187,827200
1962-05-08,1.8138,1.8138,1.756,1.756,1032000
1962-05-09,1.7526,1.7688,1.7164,1.7202,1600000
1962-05-10,1.7215,1.7549,1.7139,1.7291,1907200
1962-05-11,1.729,1.7557,1.6946,1.7023,1896000
1962-05-14,1.7056,1.7381,1.676,1.7381,2728000
1962-05-15,1.7387,1.7712,1.7291,1.7291,1683200
1962-05-16,1.7279,1.7566,1.7279,1.7471,880000
1962-05-17,1.7508,1.7508,1.7125,1.7202,971200
1962-05-18,1.7196,1.7291,1.7062,1.7291,731200
1962-05-21,1.7259,1.7259,1.7049,1.7202,395200
1962-05-22,1.722,1.722,1.6664,1.6664,1000000
1962-05-23,1.6612,1.6727,1.5858,1.5858,2891200
1962-05-24,1.5891,1.6302,1.5231,1.5231,4152000
1962-05-25,1.5212,1.5556,1.4829,1.5231,4299200
