date,open,high,low,close,volume
1986-03-13,0.0596,0.0683,0.0596,0.0654,1031788800
1986-03-14,0.0654,0.0689,0.0654,0.0677,308160000
1986-03-17,0.0677,0.0695,0.0677,0.0689,133171200
1986-03-18,0.0689,0.0695,0.0666,0.0671,67766400
1986-03-19,0.0671,0.0677,0.0654,0.066,47894400
1986-03-20,0.066,0.066,0.0636,0.0642,58435200
1986-03-21,0.0642,0.0654,0.0613,0.0625,59990400
1986-03-24,0.0625,0.0625,0.0601,0.0607,65289600
1986-03-25,0.0607,0.0619,0.0601,0.0619,32083200
1986-03-26,0.0619,0.0642,0.0613,0.0636,22752000
1986-03-27,0.0636,0.0648,0.0636,0.0648,16848000
1986-03-31,0.0648,0.0648,0.0631,0.0642,12873600
1986-04-01,0.0642,0.0642,0.0636,0.0636,11088000
1986-04-02,0.0636,0.0654,0.0636,0.0642,27014400
1986-04-03,0.0648,0.0666,0.0648,0.0648,23040000
1986-04-04,0.0648,0.0654,0.0648,0.0648,26582400
1986-04-07,0.0648,0.0654,0.0625,0.0636,16560000
1986-04-08,0.0636,0.0654,0.0636,0.0642,10252800
1986-04-09,0.0642,0.066,0.0642,0.0654,12153600
1986-04-10,0.0654,0.0666,0.0642,0.066,13881600
1986-04-11,0.0666,0.0683,0.0666,0.0671,17222400
1986-04-14,0.0671,0.0683,0.0671,0.0677,12153600
1986-04-15,0.0677,0.0677,0.0654,0.0677,9302400
1986-04-16,0.0677,0.0706,0.0671,0.0701,31910400
1986-04-17,0.0701,0.0706,0.0701,0.0706,22003200
1986-04-18,0.0706,0.0706,0.0677,0.0683,21628800
1986-04-21,0.0683,0.0689,0.0666,0.0683,22924800
1986-04-22,0.0683,0.0683,0.0671,0.0671,15552000
1986-04-23,0.0671,0.0677,0.0666,0.0674,15609600
1986-04-24,0.0674,0.0753,0.0671,0.0742,62352000
1986-04-25,0.0747,0.082,0.0747,0.0788,85795200
1986-04-28,0.0788,0.08,0.0782,0.0794,28886400
1986-04-29,0.0794,0.0794,0.0765,0.0771,30326400
1986-04-30,0.0771,0.0777,0.0736,0.0753,30902400
1986-05-01,0.0753,0.0753,0.073,0.0742,54345600
1986-05-02,0.0742,0.0753,0.0736,0.0742,20246400
1986-05-05,0.0742,0.0742,0.0736,0.0736,3254400
1986-05-06,0.0742,0.0753,0.0742,0.0742,9734400
1986-05-07,0.0742,0.0747,0.073,0.0742,5155200
1986-05-08,0.0742,0.0747,0.0736,0.0747,3542400
1986-05-09,0.0747,0.0747,0.0742,0.0742,6076800
1986-05-12,0.0742,0.0765,0.0742,0.0747,10483200
1986-05-13,0.0747,0.0759,0.0747,0.0753,3830400
1986-05-14,0.0753,0.0753,0.0747,0.0747,9302400
1986-05-15,0.0747,0.0759,0.0747,0.0747,3801600
1986-05-16,0.0747,0.0771,0.0747,0.0753,11952000
1986-05-19,0.0753,0.0753,0.0736,0.0742,11001600
1986-05-20,0.0742,0.0742,0.073,0.0736,61977600
1986-05-21,0.0736,0.0742,0.0724,0.0724,8092800
1986-05-22,0.0724,0.073,0.0724,0.0724,4406400
1986-05-23,0.0724,0.0736,0.0724,0.0724,4089600
1986-05-27,0.0724,0.0747,0.0724,0.0747,13881600
1986-05-28,0.0747,0.0771,0.0747,0.0771,15523200
1986-05-29,0.0771,0.08,0.0765,0.0788,45676800
1986-05-30,0.0794,0.0829,0.0794,0.0817,27072000
1986-06-02,0.0817,0.0817,0.0794,0.0794,19728000
1986-06-03,0.0794,0.0794,0.0782,0.0794,5011200
1986-06-04,0.0794,0.08,0.0782,0.0788,4723200
1986-06-05,0.0788,0.08,0.0782,0.08,13708800
1986-06-06,0.08,0.08,0.0788,0.08,3427200
1986-06-09,0.08,0.08,0.0765,0.0765,12672000
1986-06-10,0.0765,0.0765,0.0753,0.0765,3427200
1986-06-11,0.0765,0.0765,0.0753,0.0765,2304000
1986-06-12,0.0765,0.0765,0.073,0.0736,13708800
1986-06-13,0.0736,0.0742,0.073,0.0736,7891200
1986-06-16,0.0736,0.0742,0.0724,0.073,9590400
1986-06-17,0.0736,0.0753,0.0736,0.0742,13075200
1986-06-18,0.0742,0.0742,0.0724,0.0736,4348800
1986-06-19,0.0736,0.0742,0.0724,0.073,8467200
1986-06-20,0.073,0.0736,0.073,0.0733,3801600
1986-06-23,0.0733,0.0742,0.0718,0.0742,46195200
1986-06-24,0.0742,0.0747,0.073,0.0736,14572800
1986-06-25,0.0736,0.0742,0.0724,0.0724,15235200
1986-06-26,0.0724,0.073,0.0701,0.0701,19152000
1986-06-27,0.0701,0.0706,0.0689,0.0695,10396800
1986-06-30,0.0695,0.0736,0.0689,0.0718,62352000
1986-07-01,0.0718,0.0718,0.0712,0.0718,47577600
1986-07-02,0.0718,0.0718,0.0712,0.0718,52617600
1986-07-03,0.0724,0.0736,0.0724,0.073,14140800
1986-07-07,0.073,0.073,0.0701,0.0701,14054400
1986-07-08,0.0701,0.0701,0.0677,0.0683,14256000
1986-07-09,0.0683,0.0683,0.0648,0.0654,46137600
1986-07-10,0.0654,0.066,0.0607,0.0636,46886400
1986-07-11,0.0636,0.0666,0.0636,0.0654,17395200
1986-07-14,0.0636,0.066,0.0636,0.0645,28598400
1986-07-15,0.0645,0.0666,0.0636,0.0654,13190400
1986-07-16,0.066,0.0677,0.066,0.0677,9360000
1986-07-17,0.0677,0.0689,0.0671,0.0689,6940800
1986-07-18,0.0689,0.0701,0.0671,0.0695,12326400
1986-07-21,0.0695,0.0706,0.0695,0.0695,3513600
1986-07-22,0.0695,0.0718,0.0695,0.0718,10512000
1986-07-23,0.0718,0.073,0.0701,0.0701,20793600
1986-07-24,0.0712,0.0736,0.0712,0.0724,14140800
1986-07-25,0.0724,0.0736,0.0724,0.073,20448000
1986-07-28,0.073,0.073,0.0712,0.0712,11808000
1986-07-29,0.0712,0.0718,0.0683,0.0695,14054400
1986-07-30,0.0695,0.0695,0.0648,0.0671,26409600
1986-07-31,0.0671,0.0677,0.0666,0.0666,15638400
1986-08-01,0.0666,0.0671,0.0654,0.066,12902400
1986-08-04,0.066,0.066,0.0642,0.066,12441600
1986-08-05,0.066,0.0666,0.0654,0.0654,2822400
1986-08-06,0.0654,0.066,0.0636,0.0648,18316800
1986-08-07,0.0648,0.0654,0.0636,0.0642,3657600
1986-08-08,0.0642,0.066,0.0642,0.0648,4147200
1986-08-11,0.066,0.0677,0.066,0.0671,7948800
1986-08-12,0.0671,0.0689,0.0671,0.0689,9993600
