date,open,high,low,close,volume
2004-08-19,50.1598,52.1911,48.1286,50.3228,44659000
2004-08-20,50.6614,54.7089,50.4056,54.3227,22834300
2004-08-23,55.5515,56.9157,54.6938,54.8694,18256100
2004-08-24,55.7922,55.9728,51.9454,52.5974,15247300
2004-08-25,52.5422,54.1672,52.1008,53.1641,9188600
2004-08-26,52.6375,54.1421,52.492,54.1221,7094800
2004-08-27,54.2174,54.4782,53.0086,53.2393,6211700
2004-08-30,52.803,52.9083,51.1629,51.1629,5196700
2004-08-31,51.3184,52.0156,51.2382,51.3435,4917800
2004-09-01,51.509,51.6444,49.9893,50.2802,9138200
2004-09-02,49.6984,51.3435,49.6232,50.9122,15118600
2004-09-03,50.6313,51.0275,49.8138,50.1598,5152400
2004-09-07,50.6614,51.1579,49.9592,50.9473,5847500
2004-09-08,50.526,51.6745,50.4056,51.3084,4985600
2004-09-09,51.4087,51.514,50.6564,51.3134,4061700
2004-09-10,50.8921,53.445,50.8068,52.8281,8698800
2004-09-13,53.4801,54.3728,53.3948,53.9164,7844100
2004-09-14,53.8863,56.1734,53.5603,55.9176,10828900
2004-09-15,55.4512,57.2919,55.2706,56.1734,10713000
2004-09-16,56.3439,58.0793,55.9979,57.1615,9266300
2004-09-17,57.3871,58.9269,56.9508,58.9269,9472500
2004-09-20,58.6561,60.9883,58.5658,59.8648,10628700
2004-09-21,60.2861,60.3964,58.9369,59.1024,7228700
2004-09-22,58.9068,60.0203,58.5858,59.3733,7581200
2004-09-23,59.604,61.5049,58.6912,60.5971,8535600
2004-09-24,60.6723,62.2421,60.0654,60.1005,9123400
2004-09-27,59.9651,60.6272,59.0824,59.3131,7066100
2004-09-28,60.7626,63.8972,60.2911,63.6264,16929000
2004-09-29,63.4609,67.719,63.3104,65.7429,30516400
2004-09-30,65.1506,66.3548,64.6997,65.0007,13758000
2004-10-01,65.6025,67.3278,64.6496,66.4953,15124800
2004-10-04,67.8469,68.6469,67.2225,67.7391,13022700
2004-10-05,67.5385,69.4795,66.3247,69.3992,14973200
2004-10-06,69.0481,69.4394,68.2106,68.7522,13381400
2004-10-07,68.4914,70.1566,68.4864,69.64,14115000
2004-10-08,69.5798,70.0563,68.7221,69.0782,11069500
2004-10-11,68.7171,69.645,67.1322,67.8394,10472100
2004-10-12,67.4532,69.0181,66.9065,68.9127,11665500
2004-10-13,71.8418,71.9972,70.2569,70.6681,19766200
2004-10-14,70.7283,71.4104,69.4945,71.2198,10442100
2004-10-15,72.6994,72.9753,71.1948,72.2781,13194700
2004-10-18,71.7816,74.831,70.8236,74.8109,14036300
2004-10-19,75.483,76.436,73.9031,74.199,18109800
2004-10-20,74.199,74.7257,70.0161,70.4625,22722600
2004-10-21,72.2881,75.2974,71.0293,74.9213,29149800
2004-10-22,85.4814,90.3639,82.294,86.482,73710000
2004-10-25,88.4129,97.516,86.5421,93.9901,65462800
